7575,# doc = filename.2.txt,,,,,,,,,,,,,,,,
7576,# speaker = Катя,,,,,,,,,,,,,,,,
7577,# sent = 652,,,,,,,,,,,,,,,,
7578,,Почему,ПОЧЕМУ,ADV -,,,   _Почему_ ты выбрал именно,у,м,е,ч,о,п,ADV,ПОЧЕМУ,ADV -,У
7579,,ты,ТЫ,SPRO sg 2p - nom,,,  Почему _ты_ выбрал именно баскетбол,ы,т,,,,,SPRO,ТЫ,SPRO sg 2p - nom,Ы
7580,,выбрал,ВЫБРАТЬ,V pf praet sg indic m -,,, Почему ты _выбрал_ именно баскетбол ?,л,а,р,б,ы,в,V,ВЫБРАТЬ,V pf praet sg indic m -,Ь
7581,,именно,ИМЕННО,PART,,,Почему ты выбрал _именно_ баскетбол ? ,о,н,н,е,м,и,PART,ИМЕННО,PART,О
7582,,баскетбол,БАСКЕТБОЛ,S m inan acc sg,,,ты выбрал именно _баскетбол_ ?  ,л,о,б,т,е,к,S,БАСКЕТБОЛ,S m inan acc sg,Л
7583,,?,?,PUNCT,,,,,,,,,,PUNCT,,,
7584,,,,,,,,,,,,,,,,,
7585,# sent = 653,,,,,,,,,,,,,,,,
7586,# speaker = Макс,,,,,,,,,,,,,,,,
7587,# sent = 654,,,,,,,,,,,,,,,,
7588,,Ммм,МММ,NONLEX,,,   _Ммм_ ...  ,м,м,м,,,,S,МММ,S n inan loc sg,М
7589,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
7590,,,,,,,,,,,,,,,,,
7591,# sent = 655,,,,,,,,,,,,,,,,
7592,,Эээ,ЭЭЭ,NONLEX,,,...   _Эээ_ ...  ,э,э,э,,,,NONLEX,ЭЭЭ,NONLEX,Э
7593,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
7594,,,,,,,,,,,,,,,,,
7595,# sent = 656,,,,,,,,,,,,,,,,
7596,,Я,Я,SPRO sg 1p - nom,,,"...   _Я_ выбрал баскетбол ,",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
7597,,выбрал,ВЫБРАТЬ,V pf praet sg indic m -,,,"  Я _выбрал_ баскетбол , потому что",л,а,р,б,ы,в,V,ВЫБРАТЬ,V pf praet sg indic m -,Ь
7598,,баскетбол,БАСКЕТБОЛ,S m inan acc sg,,," Я выбрал _баскетбол_ , потому что он",л,о,б,т,е,к,S,БАСКЕТБОЛ,S m inan acc sg,Л
7599,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
7600,,потому что,потому что,CONJ,,,"выбрал баскетбол , _потому что_ он вдохновляет меня",о,т,ч, ,у,м,CONJ,потому что,CONJ,о
7601,,он,ОН,SPRO sg 3p m nom,,,"баскетбол , потому что _он_ вдохновляет меня ,",н,о,,,,,SPRO,ОН,SPRO sg 3p m nom,Н
7602,,вдохновляет,ВДОХНОВЛЯТЬ,V ipf praes sg indic - 3p,,,", потому что он _вдохновляет_ меня , а",т,е,я,л,в,о,V,ВДОХНОВЛЯТЬ,V ipf praes sg indic - 3p,Ь
7603,,меня,Я,SPRO sg 1p - acc,,,"потому что он вдохновляет _меня_ , а ещё",я,н,е,м,,,SPRO,Я,SPRO sg 1p - acc,Я
7604,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
7605,,а,А,CONJ,,,"вдохновляет меня , _а_ ещё , когда",а,,,,,,CONJ,А,CONJ,А
7606,,ещё,ЕЩЕ,ADV -,,,"меня , а _ещё_ , когда я",ё,щ,е,,,,ADV,ЕЩЕ,ADV -,Е
7607,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
7608,,когда,КОГДА,CONJ,,,"а ещё , _когда_ я был маленьким",а,д,г,о,к,,CONJ,КОГДА,CONJ,А
7609,,я,Я,SPRO sg 1p - nom,,,"ещё , когда _я_ был маленьким ,",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
7610,,был,БЫТЬ,V ipf praet sg indic m -,,,", когда я _был_ маленьким , я",л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
7611,,маленьким,МАЛЕНЬКИЙ,A - ins sg plen m -,,,"когда я был _маленьким_ , я смотрел",м,и,к,ь,н,е,A,МАЛЕНЬКИЙ,A - ins sg plen m -,Й
7612,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
7613,,я,Я,SPRO sg 1p - nom,,,"был маленьким , _я_ смотрел игры ,",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
7614,,смотрел,СМОТРЕТЬ,V ipf praet sg indic m -,,,"маленьким , я _смотрел_ игры , и",л,е,р,т,о,м,V,СМОТРЕТЬ,V ipf praet sg indic m -,Ь
7615,,игры,ИГРА,S f inan acc pl,,,", я смотрел _игры_ , и когда",ы,р,г,и,,,S,ИГРА,S f inan acc pl,А
7616,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
7617,,и,И,CONJ,,,"смотрел игры , _и_ когда наблюдал за",и,,,,,,CONJ,И,CONJ,И
7618,,когда,КОГДА,CONJ,,,"игры , и _когда_ наблюдал за такими",а,д,г,о,к,,CONJ,КОГДА,CONJ,А
7619,,наблюдал,НАБЛЮДАТЬ,V ipf praet sg indic m 1p,,,", и когда _наблюдал_ за такими взрослыми",л,а,д,ю,л,б,V,НАБЛЮДАТЬ,V ipf praet sg indic m -,Ь
7620,,за,ЗА,PR,,,"и когда наблюдал _за_ такими взрослыми ,",а,з,,,,,PR,ЗА,PR,А
7621,,такими,ТАКОЙ,APRO - ins pl plen - -,,,"когда наблюдал за _такими_ взрослыми , и",и,м,и,к,а,т,APRO,ТАКОЙ,A - ins pl plen - -,Й
7622,,взрослыми,ВЗРОСЛЫЙ,A - ins pl plen - -,,,"наблюдал за такими _взрослыми_ , и более",и,м,ы,л,с,о,S,ВЗРОСЛЫЙ,S m anim ins pl,Й
7623,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
7624,,и,И,CONJ,,,"такими взрослыми , _и_ более менее в",и,,,,,,CONJ,И,CONJ,И
7625,,более,БОЛЕЕ,ADV -,,,"взрослыми , и _более_ менее в физической",е,е,л,о,б,,ADV,БОЛЕЕ,ADV -,Е
7626,,менее,МЕНЕЕ,ADV -,,,", и более _менее_ в физической подготовке",е,е,н,е,м,,ADV,МЕНЕЕ,ADV -,Е
7627,,в,В,PR,,,"и более менее _в_ физической подготовке ,",в,,,,,,PR,В,PR,В
7628,,физической,ФИЗИЧЕСКИЙ,A - loc sg plen f -,,,"более менее в _физической_ подготовке , мужчинами",й,о,к,с,е,ч,A,ФИЗИЧЕСКИЙ,A - loc sg plen f -,Й
7629,,подготовке,ПОДГОТОВКА,S f inan loc sg,,,"менее в физической _подготовке_ , мужчинами ,",е,к,в,о,т,о,S,ПОДГОТОВКА,S f inan loc sg,А
7630,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
7631,,мужчинами,МУЖЧИНА,S m anim ins pl,,,"физической подготовке , _мужчинами_ , то меня",и,м,а,н,и,ч,S,МУЖЧИНА,S m anim ins pl,А
7632,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
7633,,то,ТО,CONJ,,,", мужчинами , _то_ меня это ,",о,т,,,,,CONJ,ТО,CONJ,О
7634,,меня,Я,SPRO sg 1p - acc,,,"мужчинами , то _меня_ это , ну",я,н,е,м,,,SPRO,Я,SPRO sg 1p - acc,Я
7635,,это,ЭТО,SPRO n - acc sg,,,", то меня _это_ , ну ,",о,т,э,,,,SPRO,ЭТО,S n - acc sg,О
7636,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
7637,,ну,НУ,PART,,,"меня это , _ну_ , вдохновляло .",у,н,,,,,PART,НУ,PART,У
7638,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
7639,,вдохновляло,ВДОХНОВЛЯТЬ,V ipf praet sg indic n -,,,", ну , _вдохновляло_ .  ",о,л,я,л,в,о,V,ВДОХНОВЛЯТЬ,V ipf praet sg indic n -,Ь
7640,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
7641,,,,,,,,,,,,,,,,,
7642,# sent = 657,,,,,,,,,,,,,,,,
7643,,Еще,ЕЩЕ,ADV -,,,.   _Еще_  яяя ,е,щ,е,,,,ADV,ЕЩЕ,ADV -,Е
7644,"<distinct form=""",,,,,,,,,,,,,,,,
7645,<dist>,яяя,,,,,,,,,,,,,,,
7646,""">",,,,,,,,,,,,,,,,
7647,,я,Я,SPRO sg 1p - nom,,, яяя  _я_  ... ,я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
7648,</distinct>,,,,,,,,,,,,,,,,
7649,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
7650,,,,,,,,,,,,,,,,,
7651,# sent = 658,,,,,,,,,,,,,,,,
7652,,Ну,НУ,PART,,,"...   _Ну_ , впервые ,",у,н,,,,,PART,НУ,PART,У
7653,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
7654,,впервые,ВПЕРВЫЕ,ADV -,,," Ну , _впервые_ , когда я",е,ы,в,р,е,п,ADV,ВПЕРВЫЕ,ADV -,Е
7655,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
7656,,когда,КОГДА,CONJ,,,", впервые , _когда_ я попробовал у",а,д,г,о,к,,CONJ,КОГДА,CONJ,А
7657,,я,Я,SPRO sg 1p - nom,,,"впервые , когда _я_ попробовал у меня",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
7658,,попробовал,ПОПРОБОВАТЬ,V pf praet sg indic m -,,,", когда я _попробовал_ у меня ничего",л,а,в,о,б,о,V,ПОПРОБОВАТЬ,V pf praet sg indic m -,Ь
7659,,у,У,PR,,,когда я попробовал _у_ меня ничего совсем,у,,,,,,PR,У,PR,У
7660,,меня,Я,SPRO sg 1p - gen,,,я попробовал у _меня_ ничего совсем не,я,н,е,м,,,SPRO,Я,SPRO sg 1p - acc,Я
7661,,ничего,НИЧЕГО,SPRO n inan nom sg,,,попробовал у меня _ничего_ совсем не получалось,о,г,е,ч,и,н,SPRO,НИЧТО,S n - gen sg,О
7662,,совсем,СОВСЕМ,ADV -,,,у меня ничего _совсем_ не получалось в,м,е,с,в,о,с,ADV,СОВСЕМ,ADV -,М
7663,,не,НЕ,PART,,,меня ничего совсем _не_ получалось в этом,е,н,,,,,PART,НЕ,PART,Е
7664,,получалось,ПОЛУЧАТЬСЯ,V ipf praet sg indic n -,,,ничего совсем не _получалось_ в этом деле,ь,с,о,л,а,ч,V,ПОЛУЧАТЬСЯ,V ipf praet sg indic n -,Я
7665,,в,В,PR,,,"совсем не получалось _в_ этом деле ,",в,,,,,,PR,В,PR,В
7666,,этом,ЭТО,APRO - loc sg plen n -,,,"не получалось в _этом_ деле , ",м,о,т,э,,,APRO,ЭТОТ,A - loc sg plen n -,О
7667,,деле,ДЕЛО,S n inan loc sg,,,"получалось в этом _деле_ ,  Иии",е,л,е,д,,,S,ДЕЛО,S n inan loc sg,О
7668,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
7669,"<distinct form=""",,,,,,,,,,,,,,,,
7670,<dist>,Иии,,,,,,,,,,,,,,,
7671,<dist>,",",,,,,,,,,,,,,,,
7672,<dist>,ммм,,,,,,,,,,,,,,,
7673,""">",,,,,,,,,,,,,,,,
7674,,и,И,PART,,,", ммм  _и_  ... ",и,,,,,,PART,И,PART,И
7675,</distinct>,,,,,,,,,,,,,,,,
7676,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
7677,,,,,,,,,,,,,,,,,
7678,# sent = 659,,,,,,,,,,,,,,,,
7679,,Возможно,ВОЗМОЖНО,ADV -,,,"...   _Возможно_ , я хотел",о,н,ж,о,м,з,ADV,ВОЗМОЖНО,ADV -,О
7680,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
7681,,я,Я,SPRO sg 1p - nom,,," Возможно , _я_ хотел совершенствоваться и",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
7682,,хотел,ХОТЕТЬ,V ipf praet sg indic m 1p,,,"Возможно , я _хотел_ совершенствоваться и стать",л,е,т,о,х,,V,ХОТЕТЬ,V ipf praet sg indic m -,Ь
7683,,совершенствоваться,СОВЕРШЕНСТВОВАТЬСЯ,V ipf - - inf - -,,,", я хотел _совершенствоваться_ и стать сильнее",я,с,ь,т,а,в,V,СОВЕРШЕНСТВОВАТЬСЯ,V ipf - - inf - -,Я
7684,,и,И,CONJ,,,"я хотел совершенствоваться _и_ стать сильнее ,",и,,,,,,CONJ,И,CONJ,И
7685,,стать,СТАТЬ,V ipf - - inf - -,,,"хотел совершенствоваться и _стать_ сильнее , чем",ь,т,а,т,с,,S,СТАТЬ,S f inan acc sg,Ь
7686,,сильнее,СИЛЬНЫЙ,ADV comp,,,"совершенствоваться и стать _сильнее_ , чем те",е,е,н,ь,л,и,ADV,СИЛЬНО,ADV comp,Й
7687,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
7688,,чем,ЧЕМ,CONJ,,,"стать сильнее , _чем_ те , против",м,е,ч,,,,CONJ,ЧЕМ,CONJ,М
7689,,те,ТОТ,A - nom pl plen - -,,,"сильнее , чем _те_ , против кого",е,т,,,,,A,ТОТ,A - nom pl plen - -,Т
7690,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
7691,,против,ПРОТИВ,PR,,,"чем те , _против_ кого я играл",в,и,т,о,р,п,PR,ПРОТИВ,PR,В
7692,,кого,КТО,SPRO m anim gen sg,,,"те , против _кого_ я играл .",о,г,о,к,,,S,КТО,S m - gen sg,О
7693,,я,Я,SPRO sg 1p - nom,,,", против кого _я_ играл . ",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
7694,,играл,ИГРАТЬ,V ipf praet sg indic m 1p,,,против кого я _играл_ .  ,л,а,р,г,и,,V,ИГРАТЬ,V ipf praet sg indic m -,Ь
7695,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
7696,,,,,,,,,,,,,,,,,
7697,# sent = 660,,,,,,,,,,,,,,,,
7698,,Вот,ВОТ,PART,,,.   _Вот_ .  ,т,о,в,,,,PART,ВОТ,PART,Т
7699,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
7700,,,,,,,,,,,,,,,,,
7701,# sent = 661,,,,,,,,,,,,,,,,
7702,,Также,ТАКЖЕ,ADV -,,,".   _Также_ , сыграл момент",е,ж,к,а,т,,ADV,ТАКЖЕ,ADV -,Е
7703,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
7704,,сыграл,СЫГРАТЬ,V pf praet sg indic m 3p,,," Также , _сыграл_ момент , то",л,а,р,г,ы,с,V,СЫГРАТЬ,V pf praet sg indic m -,Ь
7705,,момент,МОМЕНТ,S m inan nom sg,,,"Также , сыграл _момент_ , то что",т,н,е,м,о,м,S,МОМЕНТ,S m inan acc sg,Т
7706,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
7707,,то,ТО,CONJ,,,"сыграл момент , _то_ что я хотел",о,т,,,,,CONJ,ТО,CONJ,О
7708,,что,ЧТО,CONJ,,,"момент , то _что_ я хотел чего-то",о,т,ч,,,,CONJ,ЧТО,CONJ,О
7709,,я,Я,SPRO sg 1p - nom,,,", то что _я_ хотел чего-то добиться",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
7710,,хотел,ХОТЕТЬ,V ipf praet sg indic m 1p,,,то что я _хотел_ чего-то добиться .,л,е,т,о,х,,V,ХОТЕТЬ,V ipf praet sg indic m -,Ь
7711,,чего-то,ЧТО-ТО,SPRO n inan gen sg,,,что я хотел _чего-то_ добиться . ,о,т,-,о,г,е,SPRO,ЧТО-ТО,S n - gen sg,О
7712,,добиться,ДОБИТЬСЯ,V pf - - inf - -,,,я хотел чего-то _добиться_ .  ,я,с,ь,т,и,б,V,ДОБИТЬСЯ,V pf - - inf - -,Я
7713,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
7714,,,,,,,,,,,,,,,,,
7715,# sent = 662,,,,,,,,,,,,,,,,
7716,,Зная,ЗНАТЬ,V ipf praes - ger - -,,,".   _Зная_ , что спортсмены",я,а,н,з,,,V,ЗНАТЬ,V ipf praes - ger - -,Ь
7717,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
7718,,что,ЧТО,CONJ,,," Зная , _что_ спортсмены довольно обеспечены",о,т,ч,,,,CONJ,ЧТО,CONJ,О
7719,,спортсмены,СПОРТСМЕН,S m anim nom pl,,,"Зная , что _спортсмены_ довольно обеспечены ",ы,н,е,м,с,т,S,СПОРТСМЕН,S m anim nom pl,Н
7720,,довольно,ДОВОЛЬНО,ADV -,,,", что спортсмены _довольно_ обеспечены  иии",о,н,ь,л,о,в,ADV,ДОВОЛЬНО,ADV -,О
7721,,обеспечены,ОБЕСПЕЧИТЬ,PARTCP pf praes - pl brev - pass -,,,что спортсмены довольно _обеспечены_  иии ,ы,н,е,ч,е,п,PARTCP,ОБЕСПЕЧИТЬ,PARTCP pf praet - pl brev - pass -,Ь
7722,"<distinct form=""",,,,,,,,,,,,,,,,
7723,<dist>,иии,,,,,,,,,,,,,,,
7724,""">",,,,,,,,,,,,,,,,
7725,,и,И,CONJ,,, иии  _и_  получают деньги,и,,,,,,CONJ,И,CONJ,И
7726,</distinct>,,,,,,,,,,,,,,,,
7727,,получают,ПОЛУЧАТЬ,V ipf praes pl indic - 3p,,, и  _получают_ деньги за то,т,ю,а,ч,у,л,V,ПОЛУЧАТЬ,V ipf praes pl indic - 3p,Ь
7728,,деньги,ДЕНЬГИ,S - inan acc pl,,,"и  получают _деньги_ за то ,",и,г,ь,н,е,д,S,ДЕНЬГИ,S - inan acc pl,И
7729,,за,ЗА,PR,distort,," получают деньги _за_ то , что",а,а,з,,,,PR,ЗАА,S m inan nonflex -,А
7730,,то,ТО,SPRO n - acc sg,,,"получают деньги за _то_ , что им",о,т,,,,,CONJ,ТО,CONJ,О
7731,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
7732,,что,ЧТО,SPRO n inan nom sg,,,"за то , _что_ им нравится ,",о,т,ч,,,,CONJ,ЧТО,CONJ,О
7733,,им,ОНИ,SPRO pl - - ins,,,"то , что _им_ нравится , я",м,и,,,,,SPRO,ОН,SPRO sg 3p m ins,И
7734,,нравится,НРАВИТЬСЯ,V ipf praes sg indic - 3p,,,", что им _нравится_ , я решил",я,с,т,и,в,а,V,НРАВИТЬСЯ,V ipf praes sg indic - 3p,Я
7735,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
7736,,я,Я,SPRO sg 1p - nom,,,"им нравится , _я_ решил , что",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
7737,,решил,РЕШИТЬ,V pf praet sg indic m -,,,"нравится , я _решил_ , что я",л,и,ш,е,р,,V,РЕШИТЬ,V pf praet sg indic m -,Ь
7738,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
7739,,что,ЧТО,CONJ,,,"я решил , _что_ я хочу стать",о,т,ч,,,,CONJ,ЧТО,CONJ,О
7740,,я,Я,SPRO sg 1p - nom,,,"решил , что _я_ хочу стать одним",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
7741,,хочу,ХОТЕТЬ,V ipf praes sg indic m 1p,,,", что я _хочу_ стать одним из",у,ч,о,х,,,V,ХОТЕТЬ,V ipf praes sg indic - 1p,Ь
7742,,стать,СТАТЬ,V ipf - - inf - -,,,что я хочу _стать_ одним из них,ь,т,а,т,с,,S,СТАТЬ,S f inan acc sg,Ь
7743,,одним,ОДИН,ANUM - ins sg plen m -,,,я хочу стать _одним_ из них .,м,и,н,д,о,,ANUM,ОДИН,A - ins sg plen m -,Н
7744,,из,ИЗ,PR,,,хочу стать одним _из_ них . ,з,и,,,,,PR,ИЗ,PR,З
7745,,них,ОНИ,SPRO pl - - loc,,,стать одним из _них_ .  ,х,и,н,,,,SPRO,ОНИ,SPRO pl - - loc,И
7746,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
7747,,,,,,,,,,,,,,,,,
7748,# sent = 663,,,,,,,,,,,,,,,,
7749,,Вот,ВОТ,PART,,,.   _Вот_ .  ,т,о,в,,,,PART,ВОТ,PART,Т
7750,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
7751,,,,,,,,,,,,,,,,,
7752,# sent = 664,,,,,,,,,,,,,,,,
7753,# speaker = Катя,,,,,,,,,,,,,,,,
7754,# sent = 665,,,,,,,,,,,,,,,,
7755,,Кто,КТО,SPRO m - nom sg,,,   _Кто_ твой кумир в,о,т,к,,,,S,КТО,S m - nom sg,О
7756,,твой,ТВОЙ,APRO - nom sg plen m -,,,  Кто _твой_ кумир в баскетболе,й,о,в,т,,,APRO,ТВОЙ,A - nom sg plen m -,Й
7757,,кумир,КУМИР,S m anim nom sg,,, Кто твой _кумир_ в баскетболе ?,р,и,м,у,к,,S,КУМИР,S m anim nom sg,Р
7758,,в,В,PR,,,Кто твой кумир _в_ баскетболе ? ,в,,,,,,PR,В,PR,В
7759,,баскетболе,БАСКЕТБОЛ,S m inan loc sg,,,твой кумир в _баскетболе_ ?  ,е,л,о,б,т,е,S,БАСКЕТБОЛ,S m inan loc sg,Л
7760,,?,?,PUNCT,,,,,,,,,,PUNCT,,,
7761,,,,,,,,,,,,,,,,,
7762,# sent = 666,,,,,,,,,,,,,,,,
7763,# speaker = Макс,,,,,,,,,,,,,,,,
7764,# sent = 667,,,,,,,,,,,,,,,,
7765,"<distinct form=""",,,,,,,,,,,,,,,,
7766,<dist>,Нуу,,,,,,,,,,,,,,,
7767,""">",,,,,,,,,,,,,,,,
7768,,Ну,НУ,PART,,, Нуу  _Ну_  ... ,у,н,,,,,PART,НУ,PART,У
